ip,port,protocols,anonymity,country,city,latency_ms,uptime_pct,alive,uptime_24h,uptime_7d,reliability
144.76.111.58,80,http,transparent,DE,Falkenstein,81,98.2,true,100.0,100.0,stable
15.160.16.72,50603,http|socks4|socks5,anonymous,IT,Milan,81,85.1,true,92.3,85.1,flaky
108.131.152.118,2996,socks4|socks5,elite,IE,Dublin,82,73.6,true,61.5,73.6,reviving
15.160.116.45,8097,https|socks4|socks5,elite,IT,Milan,82,16.0,true,41.7,20.8,reviving
15.160.132.166,13993,https|socks4|socks5,elite,IT,Milan,82,14.1,true,36.4,15.0,reviving
15.237.108.20,15496,https|socks4|socks5,elite,FR,Paris,82,15.1,true,16.7,24.5,reviving
54.216.65.145,3007,https|socks4|socks5,elite,IE,Dublin,82,79.2,true,69.2,79.2,reviving
63.179.134.206,5117,socks4,elite,DE,Frankfurt am Main,82,12.9,true,16.7,16.7,reviving
108.131.109.106,1018,https|socks4,elite,IE,Dublin,83,12.1,true,25.0,15.0,reviving
15.160.116.45,26743,https|socks4,elite,IT,Milan,83,13.0,true,8.3,16.4,reviving
54.216.65.145,53568,socks4|socks5,elite,IE,Dublin,83,73.1,true,76.9,73.1,reviving
63.179.134.206,55357,https|socks4|socks5,elite,DE,Frankfurt am Main,83,13.4,true,16.7,15.3,reviving
108.131.109.106,58435,https|socks4|socks5,elite,IE,Dublin,84,14.5,true,53.8,18.8,reviving
15.160.16.72,808,http|socks4|socks5,,IT,Milan,84,81.8,true,84.6,81.8,flaky
15.237.108.20,34644,socks4|socks5,elite,FR,Paris,84,15.1,true,9.1,18.2,reviving
16.18.37.186,47623,https|socks4|socks5,elite,CH,Zurich,84,12.2,true,18.2,17.5,reviving
35.177.65.228,48203,socks4|socks5,elite,GB,City of London,84,79.7,true,76.9,79.9,reviving
108.131.109.106,44717,https|socks4|socks5,elite,IE,Dublin,85,13.8,true,33.3,14.0,reviving
54.246.244.235,48097,socks4|socks5,elite,IE,Dublin,85,78.1,true,69.2,78.1,reviving
13.38.27.183,47780,https|socks4|socks5,elite,FR,Paris,86,13.7,true,18.2,11.8,reviving
16.18.32.153,8000,socks5,elite,CH,Zurich,86,84.3,true,84.6,84.3,reviving
16.18.37.186,36464,https|socks4|socks5,elite,CH,Zurich,86,12.6,true,18.2,20.9,reviving
16.18.37.186,48551,https|socks4|socks5,elite,CH,Zurich,86,12.4,true,18.2,22.4,reviving
16.62.111.95,45444,socks4|socks5,elite,CH,Zurich,87,75.0,true,84.6,75.0,flaky
16.62.123.236,33292,https|socks4|socks5,elite,CH,Zurich,87,13.9,true,16.7,16.7,reviving
63.179.134.206,31725,https|socks4,elite,DE,Frankfurt am Main,87,12.0,true,9.1,20.3,reviving
52.47.115.41,36630,https|socks4|socks5,elite,FR,Paris,88,13.2,true,25.0,12.5,reviving
15.188.238.238,27603,socks5,elite,FR,Paris,89,80.7,true,69.2,80.7,reviving
16.62.111.95,13774,socks4|socks5,elite,CH,Zurich,89,100.0,true,100.0,100.0,new
52.47.115.41,9999,https|socks4|socks5,elite,FR,Paris,89,13.1,true,16.7,10.0,reviving
83.168.74.163,8080,http,elite,PL,Wroclaw,89,84.2,true,92.9,99.4,stable
13.40.94.69,9238,https|socks4|socks5,elite,GB,City of London,90,86.1,true,84.6,86.1,reviving
15.160.16.72,24674,https|socks4|socks5,elite,IT,Milan,90,84.9,true,100.0,84.9,flaky
15.160.116.45,9127,socks4,elite,IT,Milan,91,12.7,true,41.7,18.9,reviving
51.96.146.123,23708,socks4|socks5,elite,CH,Zurich,91,70.5,true,84.6,70.5,reviving
54.216.65.145,38300,https|socks4|socks5,elite,IE,Dublin,91,80.1,true,53.8,80.1,reviving
108.131.109.106,41392,https|socks4|socks5,elite,IE,Dublin,92,16.4,true,33.3,16.6,reviving
108.131.109.106,6430,https|socks4|socks5,elite,IE,Dublin,93,11.8,true,25.0,13.6,reviving
